법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,시행일자,자법타법여부,법령상세링크,공백제거법령명
177920,현행,주민소환에 관한 법률 시행령,주민소환법시행령,10448,20151230,26774,타법개정,1741000,행정안전부,대통령령,20151230,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=177920&type=HTML&mobileYn=&efYd=20151230,주민소환에관한법률시행령
239527,현행,주민의 감사 청구 등의 서식에 관한 규칙,NaN,8207,20220113,313,전부개정,1741000,행정안전부,행정안전부령,20220113,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=239527&type=HTML&mobileYn=&efYd=20220113,주민의감사청구등의서식에관한규칙
236211,현행,주민조례발안에 관한 법률,주민조례발안법,14171,20211019,18495,제정,1741000,행정안전부,법률,20220113,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=236211&type=HTML&mobileYn=&efYd=20220113,주민조례발안에관한법률
238163,현행,주민투표관리규칙,NaN,9729,20211220,543,타법개정,9760000,중앙선거관리위원회,중앙선거관리위원회규칙,20211220,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=238163&type=HTML&mobileYn=&efYd=20211220,주민투표관리규칙
241921,현행,주민투표법,NaN,9629,20220426,18849,일부개정,1741000,행정안전부,법률,20220426,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241921&type=HTML&mobileYn=&efYd=20220426,주민투표법
237881,현행,주세법,NaN,1566,20211221,18593,일부개정,1051000,기획재정부,법률,20220101,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=237881&type=HTML&mobileYn=&efYd=20220101,주세법
240335,현행,주세법 시행령,NaN,4938,20220215,32426,일부개정,1051000,기획재정부,대통령령,20220215,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240335&type=HTML&mobileYn=&efYd=20220215,주세법시행령
241413,현행,주세법 시행규칙,NaN,8233,20220318,910,일부개정,1051000,기획재정부,기획재정부령,20220318,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241413&type=HTML&mobileYn=&efYd=20220318,주세법시행규칙
232781,현행,주소정보시설규칙,NaN,11068,20210609,256,전부개정,1741000,행정안전부,행정안전부령,20210609,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=232781&type=HTML&mobileYn=&efYd=20210609,주소정보시설규칙
193480,현행,주식ㆍ사채 등의 전자등록에 관한 법률,전자증권법,12514,20170418,14827,타법개정,1160100 1270000,"금융위원회,법무부",법률,20190916,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=193480&type=HTML&mobileYn=&efYd=20190916,주식ㆍ사채등의전자등록에관한법률
240703,현행,주식ㆍ사채 등의 전자등록에 관한 법률 시행령,전자증권법시행령,13496,20220217,32449,타법개정,1160100 1270000,"금융위원회,법무부",대통령령,20220218,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240703&type=HTML&mobileYn=&efYd=20220218,주식ㆍ사채등의전자등록에관한법률시행령
218059,현행,주식회사 등의 외부감사에 관한 법률,외부감사법,1701,20200519,17298,일부개정,1160100,금융위원회,법률,20210520,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=218059&type=HTML&mobileYn=&efYd=20210520,주식회사등의외부감사에관한법률
242031,현행,주식회사 등의 외부감사에 관한 법률 시행령,외부감사법시행령,4940,20220503,32626,일부개정,1160100,금융위원회,대통령령,20220503,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=242031&type=HTML&mobileYn=&efYd=20220503,주식회사등의외부감사에관한법률시행령
212377,현행,주식회사 등의 외부감사에 관한 법률 시행규칙,외부감사법시행규칙,8234,20191217,1579,일부개정,1160100,금융위원회,총리령,20191217,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=212377&type=HTML&mobileYn=&efYd=20191217,주식회사등의외부감사에관한법률시행규칙
228663,현행,주차장법,NaN,1814,20210112,17900,일부개정,1613000,국토교통부,법률,20210713,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=228663&type=HTML&mobileYn=&efYd=20210713,주차장법
231639,현행,주차장법 시행령,NaN,4946,20210420,31636,일부개정,1613000,국토교통부,대통령령,20210713,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=231639&type=HTML&mobileYn=&efYd=20210713,주차장법시행령
235107,현행,주차장법 시행규칙,NaN,8238,20210827,882,타법개정,1613000,국토교통부,국토교통부령,20210827,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=235107&type=HTML&mobileYn=&efYd=20210827,주차장법시행규칙
240235,현행,주택건설기준 등에 관한 규정,주택건설기준규정,4948,20220211,32411,타법개정,1613000,국토교통부,대통령령,20220211,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240235&type=HTML&mobileYn=&efYd=20220211,주택건설기준등에관한규정
240385,현행,주택건설기준 등에 관한 규칙,주택건설기준규칙,8240,20220211,1107,타법개정,1613000,국토교통부,국토교통부령,20220211,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240385&type=HTML&mobileYn=&efYd=20220211,주택건설기준등에관한규칙
241123,현행,주택공급에 관한 규칙,NaN,8243,20220228,1112,타법개정,1613000,국토교통부,국토교통부령,20220228,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241123&type=HTML&mobileYn=&efYd=20220228,주택공급에관한규칙
234127,현행,주택도시기금법,NaN,12226,20210720,18316,일부개정,1613000,국토교통부,법률,20210720,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=234127&type=HTML&mobileYn=&efYd=20210720,주택도시기금법
240705,현행,주택도시기금법 시행령,NaN,12323,20220217,32449,타법개정,1613000,국토교통부,대통령령,20220218,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240705&type=HTML&mobileYn=&efYd=20220218,주택도시기금법시행령
235111,현행,주택도시기금법 시행규칙,NaN,12325,20210827,882,타법개정,1613000,국토교통부,국토교통부령,20210827,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=235111&type=HTML&mobileYn=&efYd=20210827,주택도시기금법시행규칙
234623,현행,주택법,NaN,1809,20210810,18392,일부개정,1613000,국토교통부,법률,20220211,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=234623&type=HTML&mobileYn=&efYd=20220211,주택법
240229,현행,주택법 시행령,NaN,4949,20220211,32411,일부개정,1613000,국토교통부,대통령령,20220211,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240229&type=HTML&mobileYn=&efYd=20220211,주택법시행령
240381,현행,주택법 시행규칙,NaN,8242,20220211,1107,일부개정,1613000,국토교통부,국토교통부령,20220211,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240381&type=HTML&mobileYn=&efYd=20220211,주택법시행규칙
240291,현행,주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙,NaN,11320,20220207,1022,타법개정,1270000,법무부,법무부령,20220207,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240291&type=HTML&mobileYn=&efYd=20220207,주택임대차계약증서상의확정일자부여및임대차정보제공에관한규칙
232367,현행,주택임대차계약증서의 확정일자 부여 및 정보제공에 관한 규칙,NaN,11947,20210527,2986,타법개정,9740000,대법원,대법원규칙,20210610,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=232367&type=HTML&mobileYn=&efYd=20210610,주택임대차계약증서의확정일자부여및정보제공에관한규칙
218963,현행,주택임대차보호법,주택임대차법,1248,20200609,17363,일부개정,1270000 1613000,"국토교통부,법무부",법률,20201210,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=218963&type=HTML&mobileYn=&efYd=20201210,주택임대차보호법
